Round,Exp No,s,f,d,Mean,Std.dev,Skewness,Kurtosis,Mean_trend,Std.dev_trend,Skewness_trend,Kurtosis_trend
1,1,20,0.077,0.6,178.0359365,18.54398324,0.123001762,3.079610576,-0.324976125,-0.096296212,0.001051646,0.004472462
1,2,60,0.111,0.6,236.57801,23.47059263,0.093654706,3.150359042,0.179697458,-0.007909597,-0.000226644,0.000267947
1,3,20,0.077,0.6,183.5892685,18.49652411,0.102130954,3.080778546,-0.563958045,-0.072945222,0.004451921,0.007099355
1,4,60,0.111,0.6,222.6550041,21.26941909,0.029654395,3.085664473,-0.074875454,0.036328237,0.002920696,0.0042368
1,5,40,0.094,0.4,128.9431146,16.59316626,0.134099243,3.184678239,-0.037605568,-0.043034658,-0.003670484,0.003729072
1,6,40,0.094,0.4,139.0715799,20.8179686,0.163108696,3.125084058,-0.798269281,-0.098849826,-0.000800802,-0.011152342
1,7,60,0.077,0.2,63.44519727,11.40148754,0.136790003,3.505574571,0.042831477,-0.032219737,0.002126417,0.00393988
1,8,20,0.111,0.2,104.7507569,12.28090555,0.084121017,3.114447971,-0.165202483,-0.013992201,0.002587327,-0.002151758
1,9,60,0.077,0.2,62.67284385,13.32308553,0.41937222,4.156722728,-0.210718007,-0.131124775,-0.000650704,0.006351023
1,10,20,0.111,0.2,108.5878659,13.15625041,0.175015005,3.097679329,-0.293267491,-0.02235871,0.004671405,0.004754037
2,1,80,0.077,0.4,119.8168192,18.88705836,0.06550869,3.155494647,-0.268311154,-0.026527147,-0.003260705,-0.008104412
2,2,120,0.111,0.4,152.6714065,9.862597339,0.00827781,3.013116067,-0.315930657,0.008399919,0.007696238,0.003066045
2,3,80,0.077,0.4,99.01902982,19.29830241,0.117714904,3.220780068,-0.077653548,-0.012342029,0.000323114,0.011159576
2,4,120,0.111,0.4,159.8255724,9.939663665,0.012486921,3.043707525,0.32031634,0.037813319,-0.001217444,0.004951482
2,5,100,0.094,0.3,117.8056532,12.76090414,0.029871095,2.970789367,-0.541313404,0.126441626,0.00643656,-0.052117906
2,6,100,0.094,0.3,107.241915,12.67396075,-0.002544049,3.05011536,-0.487586284,0.082210207,-0.001303071,-0.000349412
2,7,120,0.077,0.2,66.91894035,11.4221263,-0.00385797,3.028307354,0.214683051,-0.076264942,-0.00398273,0.002489412
2,8,80,0.111,0.2,91.93867384,15.15014168,0.166476679,3.263711099,-0.033910053,-0.04000979,-0.00156868,-0.003051304
2,9,120,0.077,0.2,83.77543904,9.614899093,-0.039639412,3.047483797,-0.225530105,0.06505397,-0.002602898,-0.006473774
2,10,80,0.111,0.2,86.2814899,16.15888154,0.080949266,3.164848007,0.143492033,0.003605503,-0.002017613,-0.005446251
